epoch,train_loss,train_acc,val_loss,val_acc
1,0.19389607748281862,0.9550132707032518,0.11957075401471975,0.9549221412818285
2,0.13291258001555822,0.968837715529587,0.0924581354842163,0.9681213660362227
3,0.10974313782203357,0.9724656775696473,0.07474758387662661,0.9719975940653612
4,0.09353124176830958,0.9781653968799526,0.059454028187200234,0.9777116888324534
5,0.08265954912242611,0.9771533864161464,0.0640748664080046,0.9750384281227027
6,0.07512952136319867,0.9811823337343186,0.053563918171621636,0.980418365301076
7,0.06626596229509009,0.9841037979034198,0.04957996747699272,0.9828242999398517
8,0.06363122891062441,0.9832540910045636,0.04873826751151146,0.98155450110272
9,0.06020665272032651,0.987626739989689,0.039073822266645096,0.9856646394439618
10,0.056259517032337336,0.9863569532756679,0.04554147486332167,0.985297066096371
11,0.05414750839611975,0.9884955414255981,0.037627148556395665,0.9860656285504243
12,0.04984441797059326,0.9890301884630807,0.03740695378898332,0.9874022589052998
13,0.04827301777184964,0.9898321590193045,0.03547659405764853,0.9882376528770969
14,0.0464895861577403,0.9906532241125814,0.032847615197185494,0.9888725522956626
15,0.04522860515743556,0.9918752744839702,0.028970010576020472,0.9895742832319722
16,0.04336880890048656,0.9879036107769568,0.039846473454814166,0.9858651339971931
17,0.04207944060158292,0.9916365927708083,0.031545219395675846,0.989340372919869
18,0.041963577338510666,0.9908441694831109,0.03234231553754857,0.9886720577424313
19,0.03913691024509935,0.9919802944377614,0.0328866911067107,0.9899084408206911
20,0.0391139222725084,0.9928872849477764,0.026311069308420938,0.9908440820691038
21,0.03890090036909432,0.9936319718928415,0.02631977596345087,0.9906101717570006
22,0.036960608896009405,0.9929541158274617,0.02812861354136541,0.9902760141682818
23,0.03591572481961965,0.9928300013366176,0.027200475081644204,0.9899084408206911
24,0.03408997796083733,0.9933264592999943,0.024754649701798893,0.9911448238989508
25,0.033872818394130234,0.99452941513433,0.024288406231976412,0.9917463075586447
26,0.034580190834177606,0.9937751809207386,0.026510738276960585,0.9914455657287977
27,0.032996144942911254,0.9946630768937007,0.02424809416688498,0.9912784869344383
28,0.03206043350979153,0.9933932901796796,0.024947772835979327,0.9906770032747444
29,0.03145254420570406,0.994166618930324,0.025231849132170383,0.9916126445231571
30,0.032091489779442095,0.9930304939756736,0.027430646553426398,0.9898750250618191
31,0.02920065897088456,0.9941188825876917,0.023695527553398155,0.9916794760409009
32,0.028030911356487272,0.9937274445781062,0.026811753710795045,0.9906435875158724
33,0.02931722824409778,0.9801607760019858,0.14024533524188415,0.9762079796832186
34,0.029248678701029047,0.9943002806896947,0.02481726601853684,0.9916794760409009
35,0.02829039390900166,0.9944148479120124,0.02556692687992323,0.9910111608634632
36,0.028661055039944566,0.9953313856905539,0.021025485855623114,0.9926485330481856
37,0.028304468152338554,0.9950831567088656,0.02207917623010685,0.9924480384949542
38,0.02616478015124223,0.9947680968474919,0.022410504416148197,0.9918799705941322
39,0.02666996777438848,0.9961238089782514,0.019239818393606015,0.9930161063957762
40,0.026676529031527164,0.9952836493479216,0.020669591562088894,0.9923143754594667
41,0.02574227774239291,0.9949017586068626,0.02513028834238136,0.9913453184521821
42,0.025541739325856384,0.9959233163391954,0.020685334543090086,0.9929492748780325
43,0.02533197610017816,0.9940234099024269,0.02568123153092824,0.9909109135868476
44,0.025475033335001635,0.9949494949494949,0.02419369534548493,0.9912450711755664
45,0.024536565069189723,0.9958469381909836,0.02283063074834441,0.9924480384949542
